run_dir,throughput_fps,latency_mean_ms,latency_median_ms,latency_p95_ms,Lat_PreMux_ms_mean,Lat_Mux_ms_mean,Lat_Infer_ms_mean,Lat_Tracker_ms_mean,Lat_PreOSD_ms_mean,Lat_OSD_ms_mean,Lat_Output_ms_mean,gpu_pct_mean,ram_mb_mean,VDD_IN_mW_mean,VDD_CPU_GPU_CV_mW_mean,VDD_SOC_mW_mean,CPU_Core_1_Persen_mean,CPU_Core_1_Freq_MHz_mean,CPU_Core_2_Persen_mean,CPU_Core_2_Freq_MHz_mean,CPU_Core_3_Persen_mean,CPU_Core_3_Freq_MHz_mean,CPU_Core_4_Persen_mean,CPU_Core_4_Freq_MHz_mean,CPU_Core_5_Persen_mean,CPU_Core_5_Freq_MHz_mean,CPU_Core_6_Persen_mean,CPU_Core_6_Freq_MHz_mean,model,tracker
data/benchmark/yolov8n_kitti_nvdcf/20260819_113433,67.66420705639615,319.2287122302158,314.115,374.9519,245.5356258992806,21.285992805755395,18.837762589928055,13.130661870503598,0.009107913669064749,13.06738129496403,7.362194244604316,97.5,1368.5,9169.5,3053.5,2228.0,39.5,1510.0,34.5,1510.0,26.5,1510.0,33.0,1510.0,26.5,1510.0,27.0,1510.0,yolov8n_kitti,nvdcf
data/benchmark/yolov8n_kitti_nvdcf/20260819_113546,66.50389047759295,261.45146268656714,253.7535,316.7256,205.8082014925373,11.630738805970148,19.268179104477614,11.179373134328358,0.01021641791044776,8.50141791044776,5.053261194029851,61.5,1380.0,9149.5,3053.5,2228.0,40.5,1510.0,33.5,1510.0,31.0,1510.0,33.5,1510.0,29.0,1510.0,27.5,1510.0,yolov8n_kitti,nvdcf
data/benchmark/yolov8n_kitti_nvdcf/20260819_113700,66.72515906979154,261.3307037037037,253.016,317.88160000000005,205.64024444444445,11.94688888888889,20.185362962962962,9.926362962962962,0.011666666666666667,8.622925925925927,4.9973481481481485,92.0,1367.5,9210.0,3074.0,2228.0,38.0,1510.0,32.0,1510.0,32.5,1510.0,34.5,1510.0,31.5,1510.0,34.0,1510.0,yolov8n_kitti,nvdcf
data/benchmark/yolov8n_kitti_nvdcf/20260819_113813,66.5219522442406,261.89832835820897,254.34,315.64095,206.2575074626866,12.556589552238805,19.074843283582087,10.103940298507462,0.01053731343283582,8.188917910447762,5.706052238805969,87.5,1362.0,9190.0,3074.0,2228.0,38.0,1510.0,37.0,1510.0,33.0,1510.0,31.0,1510.0,31.5,1510.0,31.0,1510.0,yolov8n_kitti,nvdcf
data/benchmark/yolov8n_kitti_nvsort/20260819_113926,67.41092541507751,238.63155813953486,232.053,289.9324,205.17763565891474,10.66620930232558,14.407201550387597,0.42777519379844964,0.0068372093023255824,4.629325581395348,3.3166046511627907,60.5,1298.0,8459.5,2714.0,2069.0,35.5,1510.0,26.5,1510.0,21.5,1510.0,29.0,1510.0,21.5,1510.0,20.5,1510.0,yolov8n_kitti,nvsort
data/benchmark/yolov8n_kitti_nvsort/20260819_114039,67.14258600463022,238.5138203125,230.75650000000002,289.93635,205.245234375,10.7598515625,14.281468749999998,0.44128906249999994,0.007585937500000001,4.639398437500001,3.1390234375,55.0,1296.0,8439.0,2673.0,2069.0,33.5,1510.0,30.5,1510.0,31.0,1510.0,27.0,1510.0,19.5,1510.0,21.0,1510.0,yolov8n_kitti,nvsort
data/benchmark/yolov8n_kitti_nvsort/20260819_114152,66.652269776395,237.82669841269836,229.9365,289.63475,204.98784920634924,10.869992063492061,14.07838095238095,0.3745793650793651,0.007436507936507938,4.393984126984126,3.114380952380952,70.0,1300.5,8459.5,2693.5,2069.0,34.5,1510.0,30.0,1510.0,28.0,1510.0,27.0,1510.0,19.5,1510.0,21.0,1510.0,yolov8n_kitti,nvsort
data/benchmark/yolov8n_kitti_nvsort/20260819_114305,66.62299751256371,237.35711111111112,228.3795,289.45525,204.95722222222219,10.812920634920633,14.038690476190476,0.2849523809523809,0.006738095238095239,4.2001349206349206,3.056571428571429,79.0,1297.0,8439.0,2693.5,2069.0,32.5,1510.0,27.0,1510.0,22.5,1510.0,27.0,1510.0,23.5,1510.0,23.5,1510.0,yolov8n_kitti,nvsort
data/benchmark/yolov8n_kitti_nvsort/20260819_114417,66.48673805792777,237.03928225806456,229.076,288.9808,205.16834677419354,10.821661290322583,13.878806451612904,0.2886290322580646,0.007161290322580646,4.022024193548387,2.852637096774193,57.0,1291.0,8439.5,2693.5,2069.0,29.0,1510.0,27.0,1510.0,26.0,1510.0,24.0,1510.0,24.5,1510.0,24.5,1510.0,yolov8n_kitti,nvsort
data/benchmark/yolov9t_kitti_efficientnms_nvdcf/20260819_123429,49.89162724726838,472.5267667844523,466.218,552.7771,372.58902826855115,28.383180212014132,26.605696113074206,22.107310954063607,0.008098939929328622,14.007113074204947,8.826321554770319,85.5,1361.8333333333333,8493.333333333334,2788.1666666666665,2035.0,33.0,1510.0,26.5,1510.0,26.0,1510.0,24.5,1510.0,26.5,1510.0,26.666666666666668,1510.0,yolov9t_kitti_efficientnms,nvdcf
data/benchmark/yolov9t_kitti_efficientnms_nvdcf/20260819_123546,51.0033440214082,462.6365770609319,457.166,536.1752,364.6152795698925,27.857774193548384,29.859247311827957,19.389562724014336,0.009010752688172044,13.094308243727598,7.811369175627242,68.16666666666667,1356.5,8351.333333333334,2713.8333333333335,2021.6666666666667,35.166666666666664,1510.0,29.666666666666668,1510.0,26.833333333333332,1510.0,23.166666666666668,1510.0,26.333333333333332,1510.0,24.333333333333332,1510.0,yolov9t_kitti_efficientnms,nvdcf
data/benchmark/yolov9t_kitti_efficientnms_nvdcf/20260819_123702,51.18037925749975,462.4886431095406,459.489,544.2495,364.90254416961136,27.701261484098943,30.12962897526502,18.83650176678445,0.009268551236749117,13.22273851590106,7.686671378091873,69.5,1362.5,8412.166666666666,2754.3333333333335,2021.3333333333333,35.333333333333336,1510.0,26.333333333333332,1510.0,27.833333333333332,1510.0,26.666666666666668,1510.0,25.0,1510.0,25.666666666666668,1510.0,yolov9t_kitti_efficientnms,nvdcf
data/benchmark/yolov9t_kitti_efficientnms_nvdcf/20260819_123819,49.89832299441303,473.0460805860806,470.241,553.5016,373.05699633699635,28.434095238095235,26.224234432234432,22.234542124542124,0.008930402930402929,14.204798534798536,8.882490842490842,67.16666666666667,1358.1666666666667,8277.0,2659.6666666666665,1994.3333333333333,32.5,1510.0,25.333333333333332,1510.0,25.666666666666668,1510.0,22.5,1510.0,25.666666666666668,1510.0,26.333333333333332,1510.0,yolov9t_kitti_efficientnms,nvdcf
data/benchmark/yolov9t_kitti_efficientnms_nvdcf/20260819_123935,50.224926954121855,470.6099110320285,461.72,548.391,371.1371992882562,28.259807829181494,27.616765124555165,21.368483985765128,0.009658362989323842,13.71479359430605,8.503256227758007,56.333333333333336,1369.6666666666667,8412.166666666666,2754.1666666666665,2021.5,32.333333333333336,1510.0,26.166666666666668,1510.0,27.166666666666668,1510.0,27.666666666666668,1510.0,24.333333333333332,1510.0,27.666666666666668,1510.0,yolov9t_kitti_efficientnms,nvdcf
